                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.26546,                0.37287,                0.78865,                0.92548,                0.84747,                0.94767,                0.90929,                0.17682,                0.31527,                0.78762,                0.00505,                0.00505,                0.00505
                     53,                0.26369,                0.37354,                0.78845,                0.90113,                0.86352,                0.94987,                 0.9092,                0.17629,                0.31347,                0.78656,               0.004951,               0.004951,               0.004951
                     54,                0.26229,                 0.3699,                0.78888,                0.90553,                0.87362,                  0.953,                0.91408,                0.17654,                0.31008,                0.78683,               0.004852,               0.004852,               0.004852
                     55,                0.26131,                0.36591,                0.78864,                0.89993,                0.88128,                 0.9523,                0.91436,                0.17732,                0.30803,                0.78792,               0.004753,               0.004753,               0.004753
                     56,                0.26008,                0.36314,                0.78762,                0.90804,                0.87596,                0.95379,                0.91548,                0.17645,                0.30639,                0.78796,               0.004654,               0.004654,               0.004654
                     57,                0.25832,                 0.3601,                0.78762,                0.90827,                0.88097,                 0.9547,                 0.9154,                0.17608,                0.30376,                0.78763,               0.004555,               0.004555,               0.004555
                     58,                0.25652,                0.36129,                0.78779,                0.89379,                0.89442,                0.95224,                0.91808,                0.17513,                0.30488,                0.78725,               0.004456,               0.004456,               0.004456
                     59,                0.25669,                0.35558,                0.78781,                0.91248,                0.87085,                0.95076,                0.91834,                0.17455,                0.30426,                0.78734,               0.004357,               0.004357,               0.004357
                     60,                0.25529,                0.35965,                0.78689,                0.86654,                0.91008,                0.94952,                0.91595,                0.17383,                0.30556,                0.78676,               0.004258,               0.004258,               0.004258
                     61,                0.25283,                0.35264,                 0.7865,                0.92668,                0.85051,                0.95047,                0.91646,                0.17333,                0.30417,                0.78666,               0.004159,               0.004159,               0.004159
                     62,                0.25362,                0.35528,                0.78752,                 0.8768,                0.90365,                0.95054,                 0.9175,                0.17263,                0.30258,                0.78657,                0.00406,                0.00406,                0.00406
                     63,                0.25097,                0.34784,                0.78622,                0.88802,                0.89675,                0.94984,                0.91714,                0.17213,                0.30067,                0.78665,               0.003961,               0.003961,               0.003961
                     64,                0.24986,                 0.3473,                0.78727,                0.89071,                0.89638,                0.95047,                0.91845,                0.17148,                 0.2999,                0.78651,               0.003862,               0.003862,               0.003862
                     65,                0.24861,                0.34785,                 0.7862,                0.89412,                0.89066,                0.95001,                0.91582,                0.17129,                0.29958,                0.78604,               0.003763,               0.003763,               0.003763
                     66,                0.24835,                0.33928,                0.78583,                0.89931,                0.88655,                0.95002,                0.91625,                0.17077,                0.29876,                 0.7861,               0.003664,               0.003664,               0.003664
                     67,                0.24762,                0.34442,                0.78656,                0.90346,                0.87873,                0.95009,                0.91485,                0.17029,                0.29841,                0.78605,               0.003565,               0.003565,               0.003565
                     68,                0.24577,                0.34436,                0.78486,                0.89481,                0.88387,                 0.9502,                0.91559,                0.16952,                0.29793,                0.78575,               0.003466,               0.003466,               0.003466
                     69,                0.24531,                 0.3405,                0.78607,                 0.8983,                0.88579,                0.95055,                0.91631,                0.16917,                0.29768,                0.78578,               0.003367,               0.003367,               0.003367
                     70,                0.24448,                0.33769,                0.78636,                 0.8834,                0.89203,                 0.9507,                0.91647,                 0.1689,                0.29691,                0.78581,               0.003268,               0.003268,               0.003268
                     71,                0.24135,                0.33394,                0.78571,                0.86038,                0.91853,                 0.9507,                0.91689,                0.16877,                0.29647,                 0.7859,               0.003169,               0.003169,               0.003169
                     72,                0.23981,                0.33299,                0.78466,                0.85935,                0.91645,                0.95252,                0.91783,                0.16854,                 0.2962,                0.78609,                0.00307,                0.00307,                0.00307
                     73,                0.24029,                0.33077,                0.78566,                0.85676,                0.91969,                  0.951,                0.91545,                0.16839,                0.29505,                0.78625,               0.002971,               0.002971,               0.002971
                     74,                0.23891,                0.32837,                0.78528,                0.85826,                0.92065,                0.95095,                0.91506,                0.16805,                0.29468,                0.78631,               0.002872,               0.002872,               0.002872
                     75,                0.23712,                 0.3307,                0.78376,                0.86683,                0.91549,                0.95095,                0.91563,                0.16792,                0.29372,                0.78641,               0.002773,               0.002773,               0.002773
                     76,                0.23553,                0.32813,                0.78487,                0.87083,                 0.9133,                0.95117,                0.91566,                0.16754,                0.29251,                0.78637,               0.002674,               0.002674,               0.002674
                     77,                0.23435,                0.32594,                0.78391,                0.87166,                0.91198,                0.95136,                0.91741,                0.16705,                0.29153,                0.78639,               0.002575,               0.002575,               0.002575
                     78,                 0.2342,                0.32054,                0.78457,                0.87552,                0.90748,                0.95137,                0.91722,                0.16684,                0.29068,                0.78642,               0.002476,               0.002476,               0.002476
                     79,                 0.2334,                0.32219,                 0.7825,                0.87483,                0.90865,                0.95162,                0.91752,                0.16649,                0.29052,                0.78635,               0.002377,               0.002377,               0.002377
                     80,                0.22991,                0.31526,                0.78442,                0.90939,                0.87555,                 0.9524,                0.91857,                0.16611,                0.29021,                0.78629,               0.002278,               0.002278,               0.002278
                     81,                0.23032,                0.31397,                0.78328,                0.90854,                0.87629,                0.95249,                 0.9186,                0.16597,                0.28961,                0.78633,               0.002179,               0.002179,               0.002179
                     82,                 0.2275,                0.31186,                 0.7823,                0.90874,                0.87594,                0.95232,                 0.9184,                0.16584,                0.28908,                0.78635,                0.00208,                0.00208,                0.00208
                     83,                0.22608,                0.31106,                0.78273,                0.90702,                0.87754,                0.95222,                0.91834,                0.16562,                0.28886,                0.78624,               0.001981,               0.001981,               0.001981
                     84,                0.22651,                0.30628,                 0.7816,                0.90448,                0.88089,                0.95227,                0.91863,                0.16544,                0.28844,                0.78617,               0.001882,               0.001882,               0.001882
                     85,                0.22537,                0.30714,                0.78265,                0.90305,                0.88089,                0.95231,                0.91851,                 0.1651,                0.28849,                0.78605,               0.001783,               0.001783,               0.001783
                     86,                0.22417,                0.30655,                0.78266,                0.90491,                0.87899,                0.95249,                0.91875,                0.16493,                0.28804,                0.78615,               0.001684,               0.001684,               0.001684
